Organisation Name,Datafeed ID,% AVL to Timetables feed matching score,Latest matching report URL
Weardale Motor Services,2860,0.0,https://publish.bus-data.dft.gov.uk/org/583/dataset/avl/2860/download-matching-report/
Torbay Buses,2886,28.0,https://publish.bus-data.dft.gov.uk/org/335/dataset/avl/2886/download-matching-report/
Libra Travel,2888,91.0,https://publish.bus-data.dft.gov.uk/org/484/dataset/avl/2888/download-matching-report/
First Bus,699,57.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/699/download-matching-report/
First Bus,693,55.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/693/download-matching-report/
First Bus,694,86.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/694/download-matching-report/
Selwyn's Travel,2969,0.0,https://publish.bus-data.dft.gov.uk/org/552/dataset/avl/2969/download-matching-report/
Al's Coaches,3138,0.0,https://publish.bus-data.dft.gov.uk/org/535/dataset/avl/3138/download-matching-report/
Viking Coaches,3222,0.0,https://publish.bus-data.dft.gov.uk/org/581/dataset/avl/3222/download-matching-report/
Blueworks Taxis Ltd,3279,0.0,https://publish.bus-data.dft.gov.uk/org/205/dataset/avl/3279/download-matching-report/
Yeomans Travel,3334,0.0,https://publish.bus-data.dft.gov.uk/org/192/dataset/avl/3334/download-matching-report/
Blackpool Transport,3349,0.0,https://publish.bus-data.dft.gov.uk/org/29/dataset/avl/3349/download-matching-report/
First Bus,2920,79.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/2920/download-matching-report/
Glen Valley Tours,3410,0.0,https://publish.bus-data.dft.gov.uk/org/704/dataset/avl/3410/download-matching-report/
Linden Holdings (Devon) Ltd,3424,46.0,https://publish.bus-data.dft.gov.uk/org/726/dataset/avl/3424/download-matching-report/
Cotswold Green,3439,0.0,https://publish.bus-data.dft.gov.uk/org/334/dataset/avl/3439/download-matching-report/
Travelsure,3500,,
Western Dales Bus,3566,0.0,https://publish.bus-data.dft.gov.uk/org/660/dataset/avl/3566/download-matching-report/
Frome Bus,3587,27.0,https://publish.bus-data.dft.gov.uk/org/470/dataset/avl/3587/download-matching-report/
Vision Bus,3605,0.0,https://publish.bus-data.dft.gov.uk/org/582/dataset/avl/3605/download-matching-report/
Cumfybus,3607,0.0,https://publish.bus-data.dft.gov.uk/org/4/dataset/avl/3607/download-matching-report/
Chalkwell,3609,0.0,https://publish.bus-data.dft.gov.uk/org/398/dataset/avl/3609/download-matching-report/
Atlantic Travel,3610,0.0,https://publish.bus-data.dft.gov.uk/org/531/dataset/avl/3610/download-matching-report/
Wright Bros Coaches,3617,50.0,https://publish.bus-data.dft.gov.uk/org/218/dataset/avl/3617/download-matching-report/
Nexus Move,3624,0.0,https://publish.bus-data.dft.gov.uk/org/598/dataset/avl/3624/download-matching-report/
Kevs Cars & Coaches,3640,91.0,https://publish.bus-data.dft.gov.uk/org/164/dataset/avl/3640/download-matching-report/
Belle Vue,3641,89.0,https://publish.bus-data.dft.gov.uk/org/537/dataset/avl/3641/download-matching-report/
Hollinshead Coaches,3645,0.0,https://publish.bus-data.dft.gov.uk/org/553/dataset/avl/3645/download-matching-report/
TK Travel,3647,0.0,https://publish.bus-data.dft.gov.uk/org/410/dataset/avl/3647/download-matching-report/
Marshalls of Sutton on Trent,3650,100.0,https://publish.bus-data.dft.gov.uk/org/269/dataset/avl/3650/download-matching-report/
Coachstyle,3683,0.0,https://publish.bus-data.dft.gov.uk/org/446/dataset/avl/3683/download-matching-report/
Beeline Coaches,3684,,
Nu-Venture,3688,0.0,https://publish.bus-data.dft.gov.uk/org/324/dataset/avl/3688/download-matching-report/
Fowlers Travel,3695,7.0,https://publish.bus-data.dft.gov.uk/org/94/dataset/avl/3695/download-matching-report/
Coventry Minibuses,3806,50.0,https://publish.bus-data.dft.gov.uk/org/709/dataset/avl/3806/download-matching-report/
Go-Ahead,788,4.0,https://publish.bus-data.dft.gov.uk/org/10/dataset/avl/788/download-matching-report/
Go-Ahead,786,0.0,https://publish.bus-data.dft.gov.uk/org/10/dataset/avl/786/download-matching-report/
HCT Group,3810,,
Reays Coaches,3939,0.0,https://publish.bus-data.dft.gov.uk/org/214/dataset/avl/3939/download-matching-report/
Sanders Coaches,4020,18.0,https://publish.bus-data.dft.gov.uk/org/185/dataset/avl/4020/download-matching-report/
Bayliss Executive Travel,4025,,
Station Coaches,4254,8.0,https://publish.bus-data.dft.gov.uk/org/385/dataset/avl/4254/download-matching-report/
Rooster Bus Ltd,4323,,
Jacksons of Silsden,4445,0.0,https://publish.bus-data.dft.gov.uk/org/557/dataset/avl/4445/download-matching-report/
Country Bus,4696,32.0,https://publish.bus-data.dft.gov.uk/org/65/dataset/avl/4696/download-matching-report/
Lawson's of Corby,4711,0.0,https://publish.bus-data.dft.gov.uk/org/110/dataset/avl/4711/download-matching-report/
Eurocoaches Ltd,4731,,
The Big Lemon CIC,4801,0.0,https://publish.bus-data.dft.gov.uk/org/228/dataset/avl/4801/download-matching-report/
Arriva UK Bus,713,96.0,https://publish.bus-data.dft.gov.uk/org/63/dataset/avl/713/download-matching-report/
Arriva UK Bus,711,98.0,https://publish.bus-data.dft.gov.uk/org/63/dataset/avl/711/download-matching-report/
Arriva UK Bus,704,89.0,https://publish.bus-data.dft.gov.uk/org/63/dataset/avl/704/download-matching-report/
Arriva UK Bus,690,97.0,https://publish.bus-data.dft.gov.uk/org/63/dataset/avl/690/download-matching-report/
Dents Coaches,4896,0.0,https://publish.bus-data.dft.gov.uk/org/92/dataset/avl/4896/download-matching-report/
Holmeswood Coaches Ltd,4901,48.0,https://publish.bus-data.dft.gov.uk/org/77/dataset/avl/4901/download-matching-report/
Holmeswood Coaches Ltd,5048,39.0,https://publish.bus-data.dft.gov.uk/org/77/dataset/avl/5048/download-matching-report/
Roselyn Coaches,5152,,
Roselyn Coaches,5234,,
Horseman Coaches,5342,,
Lords Travel,5439,100.0,https://publish.bus-data.dft.gov.uk/org/181/dataset/avl/5439/download-matching-report/
Thornes Independent Ltd,5459,0.0,https://publish.bus-data.dft.gov.uk/org/393/dataset/avl/5459/download-matching-report/
First Bus,5863,79.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/5863/download-matching-report/
Carlone Buses,5867,90.0,https://publish.bus-data.dft.gov.uk/org/232/dataset/avl/5867/download-matching-report/
Border Rambler,5978,0.0,https://publish.bus-data.dft.gov.uk/org/543/dataset/avl/5978/download-matching-report/
Bennetts Coaches Limited,5994,,
Langston & Tasker,6005,100.0,https://publish.bus-data.dft.gov.uk/org/253/dataset/avl/6005/download-matching-report/
Herberts Travel,6013,33.0,https://publish.bus-data.dft.gov.uk/org/359/dataset/avl/6013/download-matching-report/
Stantons of Stoke,6014,,
Coatham Coaches,2506,0.0,https://publish.bus-data.dft.gov.uk/org/529/dataset/avl/2506/download-matching-report/
A & M Group - Flexibus,6033,100.0,https://publish.bus-data.dft.gov.uk/org/50/dataset/avl/6033/download-matching-report/
Reliance Motor Services Limited,6101,45.0,https://publish.bus-data.dft.gov.uk/org/191/dataset/avl/6101/download-matching-report/
Seaford and District Motor Services Ltd,6112,,
Falcon Buses,870,71.0,https://publish.bus-data.dft.gov.uk/org/237/dataset/avl/870/download-matching-report/
RATP Dev London,6128,0.0,https://publish.bus-data.dft.gov.uk/org/238/dataset/avl/6128/download-matching-report/
Ron W Dew & Son Ltd,6184,30.0,https://publish.bus-data.dft.gov.uk/org/178/dataset/avl/6184/download-matching-report/
Compass Travel,6198,69.0,https://publish.bus-data.dft.gov.uk/org/291/dataset/avl/6198/download-matching-report/
York Pullman Bus Company,6202,,
Faresaver Buses,6382,56.0,https://publish.bus-data.dft.gov.uk/org/86/dataset/avl/6382/download-matching-report/
