Organisation Name,Datafeed ID,% AVL to Timetables feed matching score,Latest matching report URL
Centaur Coaches,10062,0.0,https://publish.bus-data.dft.gov.uk/org/421/dataset/avl/10062/download-matching-report/
Bullocks Coaches,10197,,
The Big Lemon CIC,10220,65.0,https://publish.bus-data.dft.gov.uk/org/228/dataset/avl/10220/download-matching-report/
Wilfreda Luxury Coaches Ltd,10383,,
Abus,10408,0.0,https://publish.bus-data.dft.gov.uk/org/908/dataset/avl/10408/download-matching-report/
Taxico (Aimee's),10447,100.0,https://publish.bus-data.dft.gov.uk/org/58/dataset/avl/10447/download-matching-report/
Bear Buses,10449,100.0,https://publish.bus-data.dft.gov.uk/org/230/dataset/avl/10449/download-matching-report/
Mulleys Motorways,10531,94.0,https://publish.bus-data.dft.gov.uk/org/11/dataset/avl/10531/download-matching-report/
Globe Holidays Ltd,10543,16.0,https://publish.bus-data.dft.gov.uk/org/887/dataset/avl/10543/download-matching-report/
National Express West Midlands,10609,78.0,https://publish.bus-data.dft.gov.uk/org/62/dataset/avl/10609/download-matching-report/
Star Travel,10617,0.0,https://publish.bus-data.dft.gov.uk/org/263/dataset/avl/10617/download-matching-report/
M&R Travel,10823,,
Grindles Coaches,10824,,
Flagfinders,10827,0.0,https://publish.bus-data.dft.gov.uk/org/123/dataset/avl/10827/download-matching-report/
Irving of Dalston,10830,0.0,https://publish.bus-data.dft.gov.uk/org/381/dataset/avl/10830/download-matching-report/
Catteralls,10831,,
Berry's Coaches,10856,0.0,https://publish.bus-data.dft.gov.uk/org/440/dataset/avl/10856/download-matching-report/
Redroute Buses,10871,35.0,https://publish.bus-data.dft.gov.uk/org/328/dataset/avl/10871/download-matching-report/
First Bus,10878,82.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/10878/download-matching-report/
Hatch Green Coaches,10883,23.0,https://publish.bus-data.dft.gov.uk/org/136/dataset/avl/10883/download-matching-report/
Harpur's Coaches Ltd,10915,0.0,https://publish.bus-data.dft.gov.uk/org/724/dataset/avl/10915/download-matching-report/
Derbyshire Community Transport,10919,100.0,https://publish.bus-data.dft.gov.uk/org/744/dataset/avl/10919/download-matching-report/
Lakeside Coaches Ltd,10938,14.0,https://publish.bus-data.dft.gov.uk/org/141/dataset/avl/10938/download-matching-report/
GEM Mini Travel Ltd,10945,,
West Oxfordshire Community Transport,10998,0.0,https://publish.bus-data.dft.gov.uk/org/258/dataset/avl/10998/download-matching-report/
Stevenson's Travel,11048,100.0,https://publish.bus-data.dft.gov.uk/org/391/dataset/avl/11048/download-matching-report/
Community Transport South Wiltshire,11072,0.0,https://publish.bus-data.dft.gov.uk/org/951/dataset/avl/11072/download-matching-report/
Yeos Contracts,11090,0.0,https://publish.bus-data.dft.gov.uk/org/525/dataset/avl/11090/download-matching-report/
Somerset County Council,11125,14.0,https://publish.bus-data.dft.gov.uk/org/505/dataset/avl/11125/download-matching-report/
NIBSbuses Limited,11175,100.0,https://publish.bus-data.dft.gov.uk/org/67/dataset/avl/11175/download-matching-report/
Swanbrook Coaches,11254,0.0,https://publish.bus-data.dft.gov.uk/org/509/dataset/avl/11254/download-matching-report/
Lloyds Coaches,11338,5.0,https://publish.bus-data.dft.gov.uk/org/144/dataset/avl/11338/download-matching-report/
Z&S Transport,11389,86.0,https://publish.bus-data.dft.gov.uk/org/115/dataset/avl/11389/download-matching-report/
First Bus,11393,74.0,https://publish.bus-data.dft.gov.uk/org/16/dataset/avl/11393/download-matching-report/
MD Bus & Coach,11398,0.0,https://publish.bus-data.dft.gov.uk/org/384/dataset/avl/11398/download-matching-report/
Manchester Bus Tours LTD,11400,28.0,https://publish.bus-data.dft.gov.uk/org/889/dataset/avl/11400/download-matching-report/
Henshaw's Executive Travel,11440,25.0,https://publish.bus-data.dft.gov.uk/org/165/dataset/avl/11440/download-matching-report/
Aintree Coaches,11447,38.0,https://publish.bus-data.dft.gov.uk/org/534/dataset/avl/11447/download-matching-report/
McCall's Coaches Ltd,11505,0.0,https://publish.bus-data.dft.gov.uk/org/925/dataset/avl/11505/download-matching-report/
KEANE TRAVEL LIMITED,11536,0.0,https://publish.bus-data.dft.gov.uk/org/378/dataset/avl/11536/download-matching-report/
Britannia Bus,11583,0.0,https://publish.bus-data.dft.gov.uk/org/42/dataset/avl/11583/download-matching-report/
JW Lodge & Sons,11713,,
Hawkes Coaches,11714,0.0,https://publish.bus-data.dft.gov.uk/org/762/dataset/avl/11714/download-matching-report/
4K Travel,11734,,
Dartmouth Steam Railway And River Boat Company,11746,,
Hulleys of Baslow,11769,14.0,https://publish.bus-data.dft.gov.uk/org/59/dataset/avl/11769/download-matching-report/
Peter Hodgson,11772,,
Fargo Coaches,11816,,
John Dix Travel LTD,11817,,
A B Coaches Ltd,11827,,
Nottingham Minibuses & Coaches Ltd,11840,15.0,https://publish.bus-data.dft.gov.uk/org/280/dataset/avl/11840/download-matching-report/
Acme Bus Co,11979,0.0,https://publish.bus-data.dft.gov.uk/org/314/dataset/avl/11979/download-matching-report/
Martock Minibuses Ltd T/A Vickery’s Coaches,12027,0.0,https://publish.bus-data.dft.gov.uk/org/874/dataset/avl/12027/download-matching-report/
Midland Classic,12029,82.0,https://publish.bus-data.dft.gov.uk/org/34/dataset/avl/12029/download-matching-report/
Procters Coaches,12035,0.0,https://publish.bus-data.dft.gov.uk/org/401/dataset/avl/12035/download-matching-report/
F R Willetts,12054,16.0,https://publish.bus-data.dft.gov.uk/org/467/dataset/avl/12054/download-matching-report/
Ron W Dew & Son Ltd,12077,0.0,https://publish.bus-data.dft.gov.uk/org/178/dataset/avl/12077/download-matching-report/
Procters Coaches,12098,0.0,https://publish.bus-data.dft.gov.uk/org/401/dataset/avl/12098/download-matching-report/
Discover Dorset,12107,,
Xelabus,12147,52.0,https://publish.bus-data.dft.gov.uk/org/273/dataset/avl/12147/download-matching-report/
Coach Services,12152,100.0,https://publish.bus-data.dft.gov.uk/org/176/dataset/avl/12152/download-matching-report/
Kent Coach Tours,12153,100.0,https://publish.bus-data.dft.gov.uk/org/576/dataset/avl/12153/download-matching-report/
N.N. Cresswell,12155,,
Masons Travel,12203,,
Varteg Motors Ltd T/A Phil Anslow Coaches,12251,0.0,https://publish.bus-data.dft.gov.uk/org/496/dataset/avl/12251/download-matching-report/
Alpha Coaches,12257,,
National Express (UK Coach),12319,0.0,https://publish.bus-data.dft.gov.uk/org/631/dataset/avl/12319/download-matching-report/
Woods Coaches Ltd,12409,,
Yarranton Brothers,12411,0.0,https://publish.bus-data.dft.gov.uk/org/173/dataset/avl/12411/download-matching-report/
Steve Keats of Sheffield,12463,,
Rotala Group of Companies,12521,61.0,https://publish.bus-data.dft.gov.uk/org/53/dataset/avl/12521/download-matching-report/
Bland's (Rutland) Ltd,12560,65.0,https://publish.bus-data.dft.gov.uk/org/99/dataset/avl/12560/download-matching-report/
M R D,12564,0.0,https://publish.bus-data.dft.gov.uk/org/169/dataset/avl/12564/download-matching-report/
Transport for Greater Manchester,12582,4.0,https://publish.bus-data.dft.gov.uk/org/978/dataset/avl/12582/download-matching-report/
Transport for Greater Manchester,12592,92.0,https://publish.bus-data.dft.gov.uk/org/978/dataset/avl/12592/download-matching-report/
Coopers Tours Ltd,12630,0.0,https://publish.bus-data.dft.gov.uk/org/970/dataset/avl/12630/download-matching-report/
Belle Coaches,12642,57.0,https://publish.bus-data.dft.gov.uk/org/828/dataset/avl/12642/download-matching-report/
Taylors Travel,12674,,
Royal Buses,12685,,
LA Travel (Midlands) Ltd T/A South Staffs,12690,,
Thandi Red Ltd,12780,0.0,https://publish.bus-data.dft.gov.uk/org/915/dataset/avl/12780/download-matching-report/
Taunton School Enterprises Ltd,12791,,
Transport for Greater Manchester,12879,79.0,https://publish.bus-data.dft.gov.uk/org/978/dataset/avl/12879/download-matching-report/
Transport for Greater Manchester,12880,85.0,https://publish.bus-data.dft.gov.uk/org/978/dataset/avl/12880/download-matching-report/
ASD Coaches,12968,0.0,https://publish.bus-data.dft.gov.uk/org/284/dataset/avl/12968/download-matching-report/
Top Mops Limited,12986,100.0,https://publish.bus-data.dft.gov.uk/org/896/dataset/avl/12986/download-matching-report/
Safeway Coaches Ltd,12987,,
Lichfield City Coaches,13256,100.0,https://publish.bus-data.dft.gov.uk/org/976/dataset/avl/13256/download-matching-report/
HOWARDS TRAVEL AND OMEGA BUSWAYS LIMITED,13259,0.0,https://publish.bus-data.dft.gov.uk/org/959/dataset/avl/13259/download-matching-report/
Crosskeys Coaches,13281,,
David Goodfellow Travel,13343,0.0,https://publish.bus-data.dft.gov.uk/org/931/dataset/avl/13343/download-matching-report/
1st Bus Stop Ltd,13355,,
David Goodfellow Travel,13364,0.0,https://publish.bus-data.dft.gov.uk/org/931/dataset/avl/13364/download-matching-report/
R & S Watersons,13365,21.0,https://publish.bus-data.dft.gov.uk/org/388/dataset/avl/13365/download-matching-report/
A and J Taxis,13405,,
Taylors Coach Travel Ltd,13407,,
Autocar Bus & Coach Services,13421,,
Sharpes of Nottingham,13472,,
Golden Tours,13480,0.0,https://publish.bus-data.dft.gov.uk/org/592/dataset/avl/13480/download-matching-report/
Duck Tours,13481,0.0,https://publish.bus-data.dft.gov.uk/org/746/dataset/avl/13481/download-matching-report/
CAWTHORNE'S TRAVEL LTD,13504,,
Ensign Bus,13575,,
Britannia Coaches,13593,100.0,https://publish.bus-data.dft.gov.uk/org/341/dataset/avl/13593/download-matching-report/
Pats Coaches,13624,0.0,https://publish.bus-data.dft.gov.uk/org/147/dataset/avl/13624/download-matching-report/
Clarkes of London,13642,0.0,https://publish.bus-data.dft.gov.uk/org/422/dataset/avl/13642/download-matching-report/
Sheffield Community Transport,13650,0.0,https://publish.bus-data.dft.gov.uk/org/680/dataset/avl/13650/download-matching-report/
Hedge the Distance,13673,0.0,https://publish.bus-data.dft.gov.uk/org/763/dataset/avl/13673/download-matching-report/
Travel Express,13701,49.0,https://publish.bus-data.dft.gov.uk/org/306/dataset/avl/13701/download-matching-report/
Solus Coaches,13797,100.0,https://publish.bus-data.dft.gov.uk/org/804/dataset/avl/13797/download-matching-report/
Stantons of Stoke,13799,0.0,https://publish.bus-data.dft.gov.uk/org/57/dataset/avl/13799/download-matching-report/
Blue Buses,13803,0.0,https://publish.bus-data.dft.gov.uk/org/157/dataset/avl/13803/download-matching-report/
BM Coaches and Rental Ltd,13819,0.0,https://publish.bus-data.dft.gov.uk/org/627/dataset/avl/13819/download-matching-report/
Peoples Bus,13874,,
Star Cabs,13879,73.0,https://publish.bus-data.dft.gov.uk/org/597/dataset/avl/13879/download-matching-report/
Liverpool City Sights,13990,0.0,https://publish.bus-data.dft.gov.uk/org/776/dataset/avl/13990/download-matching-report/
Stephensons of Essex,14017,0.0,https://publish.bus-data.dft.gov.uk/org/20/dataset/avl/14017/download-matching-report/
A2B Travel Group Ltd,14022,0.0,https://publish.bus-data.dft.gov.uk/org/826/dataset/avl/14022/download-matching-report/
Centrebus Group,14024,90.0,https://publish.bus-data.dft.gov.uk/org/8/dataset/avl/14024/download-matching-report/
Centrebus Group,14025,82.0,https://publish.bus-data.dft.gov.uk/org/8/dataset/avl/14025/download-matching-report/
Centrebus Group,14026,91.0,https://publish.bus-data.dft.gov.uk/org/8/dataset/avl/14026/download-matching-report/
Nottingham City Transport,14029,0.0,https://publish.bus-data.dft.gov.uk/org/25/dataset/avl/14029/download-matching-report/
Green Mountain Travel Ltd,14086,66.0,https://publish.bus-data.dft.gov.uk/org/919/dataset/avl/14086/download-matching-report/
BM Coaches and Rental Ltd,14143,,
Sussex Coaches,14151,,
Telford Coaches,14158,,
